Total 566650
     43 unpleasant
     43 speech
     43 showing
     43 realized
     43 polish
     43 places
     43 particular
     43 orderly
     43 note
     43 motion
     43 join
     43 isn't
     43 holy
     43 green
     43 god's
     43 finish
     43 easily
     43 considering
     43 carrying
     43 brothers
     43 breast
     43 balls
     43 admit
     43 accustomed
     42 yesterday
     42 trembling
     42 seat
     42 natural
     42 music
     42 mood
     42 la
     42 influence
     42 household
     42 highness
     42 happening
     42 gentle
     42 frowned
     42 explained
     42 dólokhov's
     42 concluded
     42 completely
     42 causes
     42 cards
     42 captured
     42 battalion
     42 afterwards
     42 (the
     41 you've
     41 writing
     41 walking
     41 tsar
     41 space
     41 sobs
     41 shirt
     41 satisfaction
     41 produced
     41 paid
     41 nodded
     41 lower
     41 knowledge
     41 intimate
     41 impression
     41 imagined
     41 ideas
     41 greatest
     41 experience
     41 engagement
     41 dolgorukov
     41 dancing
     41 confusion
     41 columns
     41 allowed
     41 agitation
     40 visible
     40 vicomte
     40 soft
     40 respectfully
     40 receiving
     40 period
     40 ourselves
     40 lead
     40 knoll
     40 intended
     40 immense
     40 icon
     40 humanity
     40 horror
     40 heaven
     40 headquarters
     40 gun
     40 gold
     40 france
     40 follow
     40 europe
     40 crowded
     40 carriages
     40 broad
     40 beg
     40 aunt
     40 apparently
     40 age
     40 (as
     39 wound
     39 whisper
     39 visitor
     39 valet
     39 v
     39 stronger
     39 st
     39 spectacles
     39 secret
     39 science
     39 repeating
     39 remarks
     39 pávlovna's
     39 previous
     39 pressing
     39 pfuel
     39 peter
     39 pain
     39 mounted
     39 minister
     39 major
     39 madame
     39 lie
     39 inquired
     39 hours
     39 habit
     39 god!
     39 glory
     39 fully
     39 feared
     39 embraced
     39 eat
     39 ears
     39 destruction
     39 demanded
     39 definite
     39 connection
     39 comrades
     39 complete
     39 coachman
     39 believed
     39 badly
     39 appearance
     39 anger
     39 alive
     39 acquaintances
     38 x
     38 sternly
     38 solemn
     38 smell
     38 slowly
     38 series
     38 sergeant
     38 serene
     38 save
     38 prove
     38 prisoner
     38 preparing
     38 millions
     38 memory
     38 lord
     38 letting
     38 intention
     38 iii
     38 huge
     38 handkerchief
     38 generally
     38 gallop
     38 for?
     38 explanation
     38 estates
     38 doesn't
     38 column
     38 arakcheev
     38 aide-de-camp
     37 works
     37 winter
     37 trees
     37 thou
     37 thirty
     37 terms
     37 spring
     37 son's
     37 sacrifice
     37 saber
     37 prince's
     37 prayer
     37 mist
     37 lies
     37 informed
     37 him;
     37 game
     37 gaily
     37 food
     37 eight
     37 dog
     37 dangerous
     37 countess'
     37 chiefly
     37 capital
     37 armies
     37 anxious
     37 ahead
     36 zherkov
     36 worn
     36 wet
     36 touching
     36 terror
     36 tenderness
     36 sympathy
     36 stranger
     36 sleigh
     36 similar
     36 reported
     36 physical
     36 offer
     36 occasionally
     36 nice
     36 murat
     36 managed
     36 knees
     36 joyfully
     36 instructions
     36 incomprehensible
     36 ilyin
     36 illness
     36 historic
     36 galloping
     36 finger
     36 favorite
     36 fault
     36 false
     36 falling
     36 details
     36 davout
     36 dare
     36 chosen
     36 bottle
     36 battlefield
     36 ballroom
     36 baggage
     35 xvi
     35 xiv
     35 xii
     35 xi
     35 wheels
     35 usually
     35 unexpected
     35 timidly
     35 suppose
     35 shaking
     35 saddle
     35 ruined
     35 resolute
     35 reach
     35 quick
     35 property
     35 police
     35 pistol
     35 papa
     35 months
     35 minute
     35 midst
     35 loudly
     35 losing
     35 lines
     35 kissing
     35 keeping
     35 insisted
     35 him:
     35 fought
     35 flight
     35 finding
     35 escape
     35 driving
     35 destroy
     35 delight
     35 dance
     35 courage
     35 clouds
     35 busy
     35 attitude
     35 adjutants
     35 acquaintance
     35 accepted
     34 yes!
     34 weeks
     34 watching
     34 viii
     34 vii
     34 vi
     34 theory
